word,File_Name,URL
Collection,Collection.mp4,https://drive.google.com/file/d/195OnVaiTymL12oj20qYToo31tlgyRC1j/view?usp=sharing
Backhaul,Backhaul.mp4,https://drive.google.com/file/d/1VvfanNMYBLd6HsSVSk5_E-UFhOAbUpsX/view?usp=sharing
Classified,Classified.mp4,https://drive.google.com/file/d/1j4wfyLhoWJ1Ffgg8UOUC3j3wnsbDL1A2/view?usp=sharing
Bureu,Bureu.mp4,https://drive.google.com/file/d/1tPp5wrVTBVtgLVoD2pu1V7NIVsXP0Hjj/view?usp=sharing
Accessible_Banking,Accessible_Banking.mp4,https://drive.google.com/file/d/1jKFyFUcvcs7Figxbthz7HkPifBiz8bWp/view?usp=sharing
Accessibility_Resource_Center,Accessibility_Resource_Center.mp4,https://drive.google.com/file/d/1unzD7bmBnroOQwR30SmAINwLUB1Kz_tC/view?usp=sharing
Wound_Up,Wound_Up.mp4,https://drive.google.com/file/d/1YZq4Ay3CRVsh0ENBMiZ11zTTiRF9tUIE/view?usp=sharing
Worst,Worst.mp4,https://drive.google.com/file/d/1eQAzx4uu7WVXrzj5amajeOCzkbHS2Q2t/view?usp=sharing
Wellness,Wellness.mp4,https://drive.google.com/file/d/1Iv1n24BYU5h7gsZ9W6Vum4UHC5OHxUfF/view?usp=sharing
Wearable_Technology,Wearable_Technology.mp4,https://drive.google.com/file/d/1GgC8X2aagYxaSluB4d9hKmdWV3ug52t5/view?usp=sharing
Semantic_Html,Semantic_Html.mp4,https://drive.google.com/file/d/1v7OH9q2sUAXrwgXF_B_akqrw18pkoaXp/view?usp=sharing
Purchase,Purchase.mp4,https://drive.google.com/file/d/1gOKBFE06qEkzCUSsJQBAvVVGq0H1XZsA/view?usp=sharing
Seat,Seat.mp4,https://drive.google.com/file/d/1H2eGnBn70gU6oLC9qNuORZq2-mcPCdur/view?usp=sharing
Primitive,Primitive.mp4,https://drive.google.com/file/d/1zI_CcLuL7TFJXDmZeDQtaurDJxohKo6L/view?usp=sharing
Presence,Presence.mp4,https://drive.google.com/file/d/1elVWtM3m8x7AjMnX0bGau0yK_fvZl5ti/view?usp=sharing
Placard,Placard.mp4,https://drive.google.com/file/d/1xpSTkeeIGZY3kGv3xk3zJPqjfQX6lJnC/view?usp=sharing
Perceivable,Perceivable.mp4,https://drive.google.com/file/d/1Xy11CyG23aUqK9ZvgO4TeKqizZjSVy00/view?usp=sharing
Optical,Optical.mp4,https://drive.google.com/file/d/1JcKrR9Vh-Vrl5xO71h_nrK3652Xjm_zN/view?usp=sharing
Infrastructure_Automation,Infrastructure_Automation.mp4,https://drive.google.com/file/d/1zp1EvWy-3dbcd_NMuoAPTKj6byPK8qmZ/view?usp=sharing
Infratructure_Resilience,Infratructure_Resilience.mp4,https://drive.google.com/file/d/1A2JpeY4yq4FAOCBjnVFbhtMu109yWGR2/view?usp=sharing
Inner_View,Inner_View.mp4,https://drive.google.com/file/d/1PsRVx6VWd-9_fEd3xbp1cvxP1bMqaGGa/view?usp=sharing
Industrial_Visit,Industrial_Visit.mp4,https://drive.google.com/file/d/1AW8sDO254Zoz0RcIleG_ijRYyLsEV9DM/view?usp=sharing
Illuminating,Illuminating.mp4,https://drive.google.com/file/d/1mUuSbMpIL2PVDbf-Uoc8kJfW3YH15D6m/view?usp=sharing
Indoor,Indoor.mp4,https://drive.google.com/file/d/1YYefK3CkAvY4BDzICjQ1bfgBLpX76DLV/view?usp=sharing
Hazardous,Hazardous.mp4,https://drive.google.com/file/d/1qZB54qzhYLJXRPF5taNowmoqFYR8t_gF/view?usp=sharing
Hardware_Virtualisation,Hardware_Virtualisation.mp4,https://drive.google.com/file/d/1EZ_EwtH8WZ2VdgWn3d9o4bgFdf3rZPrt/view?usp=sharing
Haptic_Feedback,Haptic_Feedback.mp4,https://drive.google.com/file/d/1mIE44xrgByqBxY_7aK0SSlGMC0ZSWOi2/view?usp=sharing
Hard_Infrastructure,Hard_Infrastructure.mp4,https://drive.google.com/file/d/1ZHf1ZlVOnbzq0_YsiQKdTNHHZoL1y6Gv/view?usp=sharing
Forecasting,Forecasting.mp4,https://drive.google.com/file/d/1tAYeLWmyPH0LydKAPfacB9lq5LU3rUCM/view?usp=sharing
Ethereum,Ethereum.mp4,https://drive.google.com/file/d/1PnfKY9dl2RR842GWSxk-TRdgVQpZ0rn5/view?usp=sharing
Energy_Infrastructure,Energy_Infrastructure.mp4,https://drive.google.com/file/d/1faPQYDDyFrMxbaaz40Lpz84Tv0EyRIN1/view?usp=sharing
Discrete,Discrete.mp4,https://drive.google.com/file/d/12cdFQBJuwOyiW7Tng4QYq4LRQHclZd9M/view?usp=sharing
Dispatchable_Power,Dispatchable_Power.mp4,https://drive.google.com/file/d/1gBRJ34ByYnm_cBRav_2d9X1i8Iaph9VV/view?usp=sharing
Digitalization,Digitalization.mp4,https://drive.google.com/file/d/1GlX_WWa8IMweJOZ3GnTGKznLgB2aXvFe/view?usp=sharing
Digital,Digital.mp4,https://drive.google.com/file/d/1fFN962axnPQeGWDQv98UX4Fp8XyU9-B-/view?usp=sharing
Digger,Digger.mp4,https://drive.google.com/file/d/15H3UypuZAP73Cjxm1Zz6Gu1rvX_Vr5vN/view?usp=sharing
Diamond,Diamond.mp4,https://drive.google.com/file/d/17Ous9OrxMcuFV84anccT0CIWS8UP5bO8/view?usp=sharing
Deployment_Backup,Deployment_Backup.mp4,https://drive.google.com/file/d/1x_eTaURODpoIo1lMzkkLvaUbWFri5n2i/view?usp=sharing
Data_Streaming,Data_Streaming.mp4,https://drive.google.com/file/d/1P-TIpghdBPd_-UbY5ID4SVxLya6wQ9zw/view?usp=sharing
Commodity,Commodity.mp4,https://drive.google.com/file/d/1GE-yz6W83O-RPUSjBFzH62QVsudsPIlp/view?usp=sharing
Cloud_Infrastructure,Cloud_Infrastructure.mp4,https://drive.google.com/file/d/1WL7-o9GPRd0NI8IkbFgmLeqwfdlDkKcB/view?usp=sharing
Client-Server_Model,Client-Server_Model.mp4,https://drive.google.com/file/d/1yQdbtMf1zomuZWMRsCcqS8R3xiV8Y43c/view?usp=sharing
